fileID,k,K,n,N,pvalue
HO_BPTF_HUMAN.H10MO.D.bed,11,532,502.0,27167.0,0.563112707923
HO_BRAC_HUMAN.H10MO.D.bed,0,2,364.0,19453.0,0.0741486947024
HO_BRCA1_HUMAN.H10MO.D.bed,4,85,325.0,16057.0,0.0580637241503
HO_BSH_HUMAN.H10MO.D.bed,1,61,502.0,27167.0,0.622757694617
HO_CDX1_HUMAN.H10MO.C.bed,17,1285,502.0,27167.0,0.175840494058
HO_CDX2_HUMAN.H10MO.C.bed,33,1801,502.0,27167.0,0.948035933541
HO_CEBPA_HUMAN.H10MO.A.bed,1,55,502.0,27167.0,0.540568930636
HO_CEBPB_HUMAN.H10MO.A.bed,0,2,123.0,5055.0,0.0961546455408
HO_CEBPD_HUMAN.H10MO.B.bed,0,42,502.0,27167.0,0.913201520533
HO_CEBPE_HUMAN.H10MO.A.bed,1,11,502.0,27167.0,0.0335665177499
HO_CEBPZ_HUMAN.H10MO.D.bed,0,70,502.0,27167.0,0.541122134281
HO_CENPB_HUMAN.H10MO.D.bed,0,0,502.0,27167.0,0.0
HO_CLOCK_HUMAN.H10MO.D.bed,0,59,264.0,12701.0,0.577523437331
HO_COE1_HUMAN.H10MO.A.bed,0,136,502.0,27167.0,0.157269684747
HO_COT1_HUMAN.H10MO.B.bed,3,131,373.0,20378.0,0.438455435037
HO_COT1_HUMAN.H10MO.S.bed,2,20,333.0,16858.0,0.0135717597655
HO_CPEB1_HUMAN.H10MO.D.bed,13,925,409.0,24459.0,0.627672440334
HO_CR3L1_HUMAN.H10MO.D.bed,0,6,333.0,16858.0,0.225668679234
HO_CREB1_HUMAN.H10MO.A.bed,0,5,325.0,16057.0,0.194397867878
HO_CREB3_HUMAN.H10MO.D.bed,0,5,373.0,20378.0,0.176477986601
HO_CREM_HUMAN.H10MO.C.bed,1,18,502.0,27167.0,0.0857831490589
HO_CRX_HUMAN.H10MO.C.bed,9,684,502.0,27167.0,0.370201454787
HO_CTCF_HUMAN.H10MO.A.bed,5,116,409.0,24459.0,0.0268360018777
HO_CTCFL_HUMAN.H10MO.A.bed,4,64,264.0,12701.0,0.0210128422587
HO_CUX1_HUMAN.H10MO.C.bed,0,4,502.0,27167.0,0.143786996075
HO_CUX2_HUMAN.H10MO.D.bed,1,11,325.0,16057.0,0.0398193863434
HO_CXXC1_HUMAN.H10MO.D.bed,3,150,158.0,7061.0,0.867556930286
HO_DBP_HUMAN.H10MO.B.bed,0,49,502.0,27167.0,0.801255460427
HO_DDIT3_HUMAN.H10MO.C.bed,0,5,176.0,8201.0,0.205640232095
HO_DLX2_HUMAN.H10MO.D.bed,6,398,502.0,27167.0,0.790346147691
HO_DLX3_HUMAN.H10MO.C.bed,1,51,502.0,27167.0,0.485649485595
HO_DLX4_HUMAN.H10MO.D.bed,1,101,383.0,21572.0,0.924385886743
HO_DLX5_HUMAN.H10MO.D.bed,2,116,502.0,27167.0,0.725046282379
HO_DLX6_HUMAN.H10MO.D.bed,1,165,364.0,19453.0,0.364908009378
HO_DMBX1_HUMAN.H10MO.D.bed,0,101,502.0,27167.0,0.302968027431
HO_DPRX_HUMAN.H10MO.D.bed,0,5,502.0,27167.0,0.178091709571
HO_DRGX_HUMAN.H10MO.D.bed,1,42,502.0,27167.0,0.363618609452
HO_DUXA_HUMAN.H10MO.D.bed,0,49,502.0,27167.0,0.801255460427
HO_E2F1_HUMAN.H10MO.A.bed,0,13,383.0,21572.0,0.415609455124
HO_E2F2_HUMAN.H10MO.B.bed,0,3,480.0,25781.0,0.109647395035
HO_E2F3_HUMAN.H10MO.B.bed,0,0,502.0,27167.0,0.0
HO_E2F4_HUMAN.H10MO.A.bed,0,13,502.0,27167.0,0.430702502566
HO_E2F5_HUMAN.H10MO.B.bed,0,1,498.0,26921.0,0.0369971396549
HO_E2F6_HUMAN.H10MO.C.bed,3,65,502.0,27167.0,0.0644492342161
HO_E2F7_HUMAN.H10MO.D.bed,0,3,502.0,27167.0,0.10883767014
HO_EGR1_HUMAN.H10MO.A.bed,6,398,399.0,23065.0,0.929325931551
HO_EGR1_HUMAN.H10MO.S.bed,3,43,432.0,25559.0,0.0118072140797
HO_EGR2_HUMAN.H10MO.C.bed,1,33,502.0,27167.0,0.247647629294
HO_EGR3_HUMAN.H10MO.D.bed,1,27,432.0,25559.0,0.151650733687
HO_EGR4_HUMAN.H10MO.D.bed,2,135,502.0,27167.0,0.912568029304
HO_EHF_HUMAN.H10MO.C.bed,12,710,502.0,27167.0,0.894549519159
HO_EHF_HUMAN.H10MO.S.bed,3,47,373.0,20378.0,0.0212105593614
HO_ELF2_HUMAN.H10MO.C.bed,4,124,502.0,27167.0,0.160853947302
HO_ELF5_HUMAN.H10MO.D.bed,0,4,63.0,2584.0,0.188133824912
HO_ELK1_HUMAN.H10MO.A.bed,0,27,502.0,27167.0,0.79156934865
HO_ELK3_HUMAN.H10MO.D.bed,2,116,502.0,27167.0,0.725046282379
HO_ELK4_HUMAN.H10MO.A.bed,0,7,502.0,27167.0,0.24481454453
HO_EMX1_HUMAN.H10MO.D.bed,1,66,502.0,27167.0,0.690508871818
HO_EMX2_HUMAN.H10MO.D.bed,2,75,502.0,27167.0,0.32299291536
HO_ENOA_HUMAN.H10MO.A.bed,1,49,502.0,27167.0,0.458267332644
HO_EOMES_HUMAN.H10MO.D.bed,4,95,502.0,27167.0,0.0631666794961
HO_EPAS1_HUMAN.H10MO.D.bed,3,100,502.0,27167.0,0.22873041543
HO_ERG_HUMAN.H10MO.B.bed,0,12,502.0,27167.0,0.401145329069
HO_ERR1_HUMAN.H10MO.D.bed,7,161,502.0,27167.0,0.0207327686703
HO_ERR2_HUMAN.H10MO.A.bed,4,267,502.0,27167.0,0.89968268152
HO_ESR1_HUMAN.H10MO.A.bed,0,1,63.0,2584.0,0.0487616099002
HO_ESR1_HUMAN.H10MO.S.bed,0,27,409.0,24459.0,0.731804264884
HO_ESR2_HUMAN.H10MO.A.bed,1,42,409.0,24459.0,0.311255643897
HO_ESR2_HUMAN.H10MO.S.bed,61,2100,502.0,27167.0,0.000346467629909
HO_ESX1_HUMAN.H10MO.D.bed,0,62,502.0,27167.0,0.628425998024
HO_ETS1_HUMAN.H10MO.C.bed,6,461,502.0,27167.0,0.498887179707
HO_ETS2_HUMAN.H10MO.C.bed,3,183,502.0,27167.0,0.877297912152
HO_ETV1_HUMAN.H10MO.B.bed,1,29,123.0,5055.0,0.312295846021
HO_ETV2_HUMAN.H10MO.D.bed,3,272,502.0,27167.0,0.514697002574
HO_ETV5_HUMAN.H10MO.D.bed,0,82,502.0,27167.0,0.432335329066
HO_ETV6_HUMAN.H10MO.D.bed,1,11,409.0,24459.0,0.0277684981639
HO_ETV7_HUMAN.H10MO.D.bed,1,63,502.0,27167.0,0.649967997134
HO_EVI1_HUMAN.H10MO.B.bed,0,8,194.0,9349.0,0.308983173828
HO_EVX1_HUMAN.H10MO.D.bed,4,139,502.0,27167.0,0.231552900064
HO_EVX2_HUMAN.H10MO.A.bed,0,102,502.0,27167.0,0.297348802207
HO_FEV_HUMAN.H10MO.C.bed,1,104,502.0,27167.0,0.849384135099
HO_FIGLA_HUMAN.H10MO.D.bed,0,78,502.0,27167.0,0.46592615777
HO_FLI1_HUMAN.H10MO.A.bed,1,106,373.0,20378.0,0.838655862792
HO_FOS_HUMAN.H10MO.A.bed,1,82,502.0,27167.0,0.898214946115
HO_FOSB_HUMAN.H10MO.C.bed,0,104,399.0,23065.0,0.324397560763
HO_FOSL2_HUMAN.H10MO.A.bed,1,136,502.0,27167.0,0.561985701206
HO_FOXA1_HUMAN.H10MO.A.bed,2,168,502.0,27167.0,0.794519658509
HO_FOXA2_HUMAN.H10MO.A.bed,4,105,432.0,25559.0,0.0659344816493
HO_FOXA3_HUMAN.H10MO.C.bed,9,472,502.0,27167.0,0.750580374177
HO_FOXB1_HUMAN.H10MO.D.bed,0,31,337.0,17104.0,0.921350436677
HO_FOXC1_HUMAN.H10MO.C.bed,3,43,502.0,27167.0,0.0160919186015
HO_FOXC2_HUMAN.H10MO.D.bed,1,5,101.0,3768.0,0.0134975948273
HO_FOXD1_HUMAN.H10MO.D.bed,2,53,502.0,27167.0,0.149268932104
HO_FOXD2_HUMAN.H10MO.D.bed,3,94,502.0,27167.0,0.193269041063
HO_FOXD3_HUMAN.H10MO.D.bed,12,686,373.0,20378.0,0.978104798162
HO_FOXF1_HUMAN.H10MO.D.bed,2,237,502.0,27167.0,0.36741159588
HO_FOXF2_HUMAN.H10MO.D.bed,1,27,147.0,6518.0,0.246110954733
HO_FOXH1_HUMAN.H10MO.A.bed,1,60,502.0,27167.0,0.609108014209
HO_FOXI1_HUMAN.H10MO.B.bed,2,69,502.0,27167.0,0.270807340095
HO_FOXJ2_HUMAN.H10MO.C.bed,3,212,502.0,27167.0,0.894713129896
HO_FOXJ3_HUMAN.H10MO.A.bed,9,607,502.0,27167.0,0.625476408948
HO_FOXJ3_HUMAN.H10MO.S.bed,9,684,502.0,27167.0,0.370201454787
HO_FOXK1_HUMAN.H10MO.D.bed,1,13,502.0,27167.0,0.0464592478351
HO_FOXL1_HUMAN.H10MO.D.bed,7,461,502.0,27167.0,0.759411437834
HO_FOXM1_HUMAN.H10MO.D.bed,15,522,502.0,27167.0,0.069240896842
HO_FOXO1_HUMAN.H10MO.C.bed,7,566,264.0,12701.0,0.185598879496
HO_FOXO3_HUMAN.H10MO.B.bed,1,117,502.0,27167.0,0.721248635949
HO_FOXO4_HUMAN.H10MO.C.bed,5,436,502.0,27167.0,0.362712686855
HO_FOXO6_HUMAN.H10MO.D.bed,0,44,502.0,27167.0,0.879712604655
HO_FOXP2_HUMAN.H10MO.A.bed,14,755,409.0,24459.0,0.567737317268
HO_FOXQ1_HUMAN.H10MO.C.bed,2,81,463.0,26653.0,0.333435055293
HO_FUBP1_HUMAN.H10MO.D.bed,3,531,399.0,23065.0,0.0339836336308
HO_GABP1_HUMAN.H10MO.C.bed,1,43,502.0,27167.0,0.376975774983
HO_GABPA_HUMAN.H10MO.A.bed,1,14,351.0,17898.0,0.0597411742769
HO_GATA1_HUMAN.H10MO.A.bed,0,36,502.0,27167.0,0.978503659125
HO_GATA2_HUMAN.H10MO.A.bed,4,167,502.0,27167.0,0.394767531686
HO_GATA3_HUMAN.H10MO.C.bed,0,26,63.0,2584.0,0.950591572929
HO_GATA4_HUMAN.H10MO.B.bed,3,410,502.0,27167.0,0.106837837646
HO_GATA5_HUMAN.H10MO.D.bed,2,27,208.0,10503.0,0.0315620756887
HO_GATA6_HUMAN.H10MO.B.bed,3,117,502.0,27167.0,0.342663784854
HO_GATA6_HUMAN.H10MO.S.bed,126,7404,502.0,27167.0,0.296375955102
HO_GBX1_HUMAN.H10MO.D.bed,1,167,502.0,27167.0,0.366101293848
HO_GBX2_HUMAN.H10MO.D.bed,1,66,383.0,21572.0,0.655590321782
HO_GCM1_HUMAN.H10MO.D.bed,0,10,383.0,21572.0,0.328085328424
HO_GCM2_HUMAN.H10MO.D.bed,0,4,502.0,27167.0,0.143786996075
HO_GCR_HUMAN.H10MO.A.bed,0,12,194.0,9349.0,0.445168827924
HO_GCR_HUMAN.H10MO.S.bed,63,3506,502.0,27167.0,0.8752196597
HO_GFI1_HUMAN.H10MO.C.bed,1,107,502.0,27167.0,0.818401449287
HO_GFI1B_HUMAN.H10MO.C.bed,1,48,502.0,27167.0,0.444614613461
HO_GLI1_HUMAN.H10MO.C.bed,0,38,364.0,19453.0,0.974991423561
HO_GLI2_HUMAN.H10MO.B.bed,0,41,502.0,27167.0,0.930420088918
HO_GLIS1_HUMAN.H10MO.D.bed,0,9,502.0,27167.0,0.309098512005
HO_GLIS3_HUMAN.H10MO.D.bed,2,64,502.0,27167.0,0.229807682417
HO_GMEB2_HUMAN.H10MO.D.bed,0,7,502.0,27167.0,0.24481454453
HO_GRHL1_HUMAN.H10MO.D.bed,0,4,502.0,27167.0,0.143786996075
HO_GSC2_HUMAN.H10MO.D.bed,0,5,502.0,27167.0,0.178091709571
HO_GSC_HUMAN.H10MO.D.bed,0,37,502.0,27167.0,0.997404221702
HO_GSX1_HUMAN.H10MO.D.bed,1,62,502.0,27167.0,0.636378889867
HO_GSX2_HUMAN.H10MO.D.bed,0,48,383.0,21572.0,0.845631741751
HO_HAND1_HUMAN.H10MO.D.bed,0,51,502.0,27167.0,0.77186431507
HO_HBP1_HUMAN.H10MO.D.bed,3,205,502.0,27167.0,0.947641310095
HO_HEN1_HUMAN.H10MO.C.bed,2,28,502.0,27167.0,0.0291652223428
HO_HES1_HUMAN.H10MO.D.bed,0,34,502.0,27167.0,0.939629108152
HO_HES5_HUMAN.H10MO.D.bed,2,78,502.0,27167.0,0.350139869718
HO_HES7_HUMAN.H10MO.D.bed,2,75,502.0,27167.0,0.32299291536
HO_HESX1_HUMAN.H10MO.D.bed,0,5,208.0,10503.0,0.190383421393
HO_HEY1_HUMAN.H10MO.D.bed,1,74,383.0,21572.0,0.758480938178
HO_HEY2_HUMAN.H10MO.D.bed,1,81,502.0,27167.0,0.885752875934
HO_HIC1_HUMAN.H10MO.C.bed,2,80,502.0,27167.0,0.36858011239
HO_HIC2_HUMAN.H10MO.D.bed,1,62,123.0,5055.0,0.896300986724
HO_HIF1A_HUMAN.H10MO.A.bed,0,0,295.0,14022.0,0.0
HO_HINFP_HUMAN.H10MO.C.bed,1,1,491.0,26624.0,0.0
HO_HLF_HUMAN.H10MO.C.bed,0,19,502.0,27167.0,0.596938497847
HO_HLTF_HUMAN.H10MO.D.bed,1,73,502.0,27167.0,0.783398349239
HO_HME1_HUMAN.H10MO.D.bed,2,59,502.0,27167.0,0.191423675093
HO_HME2_HUMAN.H10MO.D.bed,1,22,502.0,27167.0,0.123441880841
HO_HMGA1_HUMAN.H10MO.D.bed,82,5751,502.0,27167.0,0.00716417930443
HO_HMGA2_HUMAN.H10MO.D.bed,0,10,399.0,23065.0,0.320309249243
HO_HMX1_HUMAN.H10MO.D.bed,0,59,502.0,27167.0,0.66467404634
HO_HMX3_HUMAN.H10MO.D.bed,0,44,502.0,27167.0,0.879712604655
HO_HNF1A_HUMAN.H10MO.A.bed,0,38,502.0,27167.0,0.984044245654
HO_HNF1B_HUMAN.H10MO.B.bed,0,28,502.0,27167.0,0.813921308311
HO_HNF4A_HUMAN.H10MO.A.bed,0,42,502.0,27167.0,0.913201520533
HO_HNF4G_HUMAN.H10MO.C.bed,0,72,502.0,27167.0,0.521257795472
HO_HNF6_HUMAN.H10MO.C.bed,0,42,295.0,14022.0,0.817737542664
HO_HSF1_HUMAN.H10MO.A.bed,3,14,147.0,6518.0,0.000416943065848
HO_HSF2_HUMAN.H10MO.A.bed,1,64,502.0,27167.0,0.66352155554
HO_HSF4_HUMAN.H10MO.D.bed,0,67,502.0,27167.0,0.572343999295
HO_HSFY1_HUMAN.H10MO.D.bed,0,0,0.0,0.0,0.0
HO_HTF4_HUMAN.H10MO.B.bed,8,530,502.0,27167.0,0.70502904948
HO_HXA10_HUMAN.H10MO.C.bed,2,53,502.0,27167.0,0.149268932104
HO_HXA11_HUMAN.H10MO.D.bed,0,112,502.0,27167.0,0.246571826532
HO_HXA13_HUMAN.H10MO.C.bed,0,42,502.0,27167.0,0.913201520533
HO_HXA1_HUMAN.H10MO.C.bed,0,29,502.0,27167.0,0.83586063941
HO_HXA2_HUMAN.H10MO.D.bed,1,112,502.0,27167.0,0.768649644354
HO_HXA5_HUMAN.H10MO.D.bed,1,9,158.0,7061.0,0.0323100741653
HO_HXA7_HUMAN.H10MO.D.bed,0,14,383.0,21572.0,0.443756474012
HO_HXA9_HUMAN.H10MO.D.bed,3,28,502.0,27167.0,0.0033179278375
HO_HXB13_HUMAN.H10MO.D.bed,3,241,502.0,27167.0,0.693627654016
HO_HXB1_HUMAN.H10MO.D.bed,1,24,333.0,16858.0,0.161516408937
HO_HXB2_HUMAN.H10MO.D.bed,0,58,502.0,27167.0,0.677214594673
HO_HXB3_HUMAN.H10MO.D.bed,1,94,383.0,21572.0,0.998755475542
HO_HXB6_HUMAN.H10MO.D.bed,2,32,502.0,27167.0,0.0418318952756
HO_HXB7_HUMAN.H10MO.C.bed,1,29,502.0,27167.0,0.199620041311
HO_HXB8_HUMAN.H10MO.C.bed,1,30,502.0,27167.0,0.211365805074
HO_HXC10_HUMAN.H10MO.D.bed,5,439,373.0,20378.0,0.365018069309
HO_HXC11_HUMAN.H10MO.D.bed,1,5,502.0,27167.0,0.00656814296894
HO_HXC12_HUMAN.H10MO.D.bed,0,79,502.0,27167.0,0.45729184381
HO_HXC13_HUMAN.H10MO.D.bed,0,5,502.0,27167.0,0.178091709571
HO_HXC6_HUMAN.H10MO.D.bed,0,61,502.0,27167.0,0.640283983702
HO_HXC8_HUMAN.H10MO.D.bed,0,22,463.0,26653.0,0.640027275067
HO_HXD10_HUMAN.H10MO.D.bed,1,62,502.0,27167.0,0.636378889867
HO_HXD11_HUMAN.H10MO.D.bed,0,90,502.0,27167.0,0.372231786772
HO_HXD12_HUMAN.H10MO.D.bed,1,232,502.0,27167.0,0.140139410823
HO_HXD13_HUMAN.H10MO.D.bed,2,85,502.0,27167.0,0.415728786685
HO_HXD3_HUMAN.H10MO.D.bed,1,17,502.0,27167.0,0.077176639472
HO_HXD4_HUMAN.H10MO.D.bed,11,1043,502.0,27167.0,0.0542139468303
HO_HXD9_HUMAN.H10MO.D.bed,11,907,502.0,27167.0,0.175608936093
HO_ID4_HUMAN.H10MO.D.bed,2,141,502.0,27167.0,0.969474768695
HO_IKZF1_HUMAN.H10MO.C.bed,80,5049,502.0,27167.0,0.134303552693
HO_INSM1_HUMAN.H10MO.C.bed,0,32,502.0,27167.0,0.899278187425
HO_IRF1_HUMAN.H10MO.A.bed,4,341,502.0,27167.0,0.48488582175
HO_IRF2_HUMAN.H10MO.C.bed,5,181,502.0,27167.0,0.239902209634
HO_IRF3_HUMAN.H10MO.C.bed,6,217,502.0,27167.0,0.217813760459
HO_IRF4_HUMAN.H10MO.C.bed,9,458,409.0,24459.0,0.478301548905
HO_IRF5_HUMAN.H10MO.D.bed,0,62,176.0,8201.0,0.518409339552
HO_IRF7_HUMAN.H10MO.C.bed,10,684,502.0,27167.0,0.557065529758
HO_IRF8_HUMAN.H10MO.D.bed,10,372,502.0,27167.0,0.172826564537
HO_IRF9_HUMAN.H10MO.C.bed,1,94,399.0,23065.0,0.971214963023
HO_IRX2_HUMAN.H10MO.D.bed,0,34,409.0,24459.0,0.873172381796
HO_IRX3_HUMAN.H10MO.D.bed,1,134,502.0,27167.0,0.577243989501
HO_ISL1_HUMAN.H10MO.D.bed,16,1248,502.0,27167.0,0.147115482367
HO_ISL2_HUMAN.H10MO.D.bed,1,65,502.0,27167.0,0.67703624311
HO_ISX_HUMAN.H10MO.D.bed,0,145,502.0,27167.0,0.132850432913
HO_ITF2_HUMAN.H10MO.B.bed,25,1208,502.0,27167.0,0.476864719101
HO_JDP2_HUMAN.H10MO.D.bed,0,1,147.0,6518.0,0.0451058606848
HO_JUN_HUMAN.H10MO.A.bed,7,466,502.0,27167.0,0.73543230503
HO_JUNB_HUMAN.H10MO.C.bed,0,56,502.0,27167.0,0.703008503522
HO_JUND_HUMAN.H10MO.A.bed,0,78,432.0,25559.0,0.528080219768
HO_KAISO_HUMAN.H10MO.A.bed,0,4,502.0,27167.0,0.143786996075
HO_KAISO_HUMAN.H10MO.S.bed,0,60,502.0,27167.0,0.652365267663
HO_KLF12_HUMAN.H10MO.D.bed,0,33,502.0,27167.0,0.919641642423
HO_KLF14_HUMAN.H10MO.D.bed,0,5,123.0,5055.0,0.231854107123
HO_KLF15_HUMAN.H10MO.D.bed,3,92,158.0,7061.0,0.300863473554
HO_KLF1_HUMAN.H10MO.C.bed,5,118,502.0,27167.0,0.0450088330804
HO_KLF3_HUMAN.H10MO.D.bed,3,65,502.0,27167.0,0.0644492342161
HO_KLF4_HUMAN.H10MO.A.bed,15,558,337.0,17104.0,0.173318031069
HO_KLF6_HUMAN.H10MO.D.bed,19,571,502.0,27167.0,0.0102848837002
HO_KLF8_HUMAN.H10MO.C.bed,3,138,373.0,20378.0,0.493343248571
HO_LBX2_HUMAN.H10MO.D.bed,2,45,502.0,27167.0,0.10053440777
HO_LEF1_HUMAN.H10MO.C.bed,27,1932,502.0,27167.0,0.142291681511
HO_LHX2_HUMAN.H10MO.D.bed,1,50,502.0,27167.0,0.471947511199
HO_LHX3_HUMAN.H10MO.C.bed,0,92,502.0,27167.0,0.358557334333
HO_LHX4_HUMAN.H10MO.D.bed,1,133,502.0,27167.0,0.585002231228
HO_LHX6_HUMAN.H10MO.D.bed,0,22,502.0,27167.0,0.67334391512
HO_LHX8_HUMAN.H10MO.D.bed,1,27,325.0,16057.0,0.205991336488
HO_LHX9_HUMAN.H10MO.D.bed,0,21,123.0,5055.0,0.808980483933
HO_LMX1A_HUMAN.H10MO.D.bed,1,190,502.0,27167.0,0.262770952347
HO_LMX1B_HUMAN.H10MO.D.bed,0,154,502.0,27167.0,0.112216389211
HO_MAF_HUMAN.H10MO.B.bed,6,468,502.0,27167.0,0.47181472393
HO_MAFA_HUMAN.H10MO.D.bed,0,40,502.0,27167.0,0.947962657363
HO_MAFB_HUMAN.H10MO.D.bed,5,251,502.0,27167.0,0.639827546229
HO_MAFF_HUMAN.H10MO.A.bed,0,28,502.0,27167.0,0.813921308311
HO_MAFG_HUMAN.H10MO.C.bed,0,17,383.0,21572.0,0.52524010491
HO_MAFK_HUMAN.H10MO.A.bed,0,1,63.0,2584.0,0.0487616099002
HO_MAFK_HUMAN.H10MO.S.bed,2,134,502.0,27167.0,0.902953813414
HO_MAX_HUMAN.H10MO.A.bed,0,21,325.0,16057.0,0.698564364244
HO_MAZ_HUMAN.H10MO.A.bed,2,103,194.0,9349.0,0.721991922521
HO_MBD2_HUMAN.H10MO.B.bed,0,28,502.0,27167.0,0.813921308311
HO_MCR_HUMAN.H10MO.D.bed,0,45,432.0,25559.0,0.928101817523
HO_MECP2_HUMAN.H10MO.C.bed,34,717,502.0,27167.0,4.44693777579e-07
HO_MEF2A_HUMAN.H10MO.A.bed,1,69,333.0,16858.0,0.793651438832
HO_MEF2B_HUMAN.H10MO.D.bed,1,36,502.0,27167.0,0.28528240968
HO_MEF2C_HUMAN.H10MO.C.bed,2,293,502.0,27167.0,0.181151239674
HO_MEF2D_HUMAN.H10MO.C.bed,2,105,502.0,27167.0,0.613893894438
HO_MEIS2_HUMAN.H10MO.B.bed,0,36,502.0,27167.0,0.978503659125
HO_MEIS3_HUMAN.H10MO.D.bed,1,53,502.0,27167.0,0.513097158732
HO_MEOX1_HUMAN.H10MO.D.bed,0,9,325.0,16057.0,0.336259277682
HO_MEOX2_HUMAN.H10MO.D.bed,2,73,502.0,27167.0,0.305267740439
HO_MESP1_HUMAN.H10MO.D.bed,4,325,502.0,27167.0,0.560443670428
HO_MGAP_HUMAN.H10MO.D.bed,0,7,409.0,24459.0,0.222709829573
HO_MITF_HUMAN.H10MO.C.bed,0,25,364.0,19453.0,0.753142124374
HO_MIXL1_HUMAN.H10MO.D.bed,0,25,502.0,27167.0,0.745596418592
HO_MLX_HUMAN.H10MO.D.bed,1,16,502.0,27167.0,0.0689244206964
HO_MLXPL_HUMAN.H10MO.D.bed,0,3,364.0,19453.0,0.1101884807
HO_MNT_HUMAN.H10MO.D.bed,13,684,502.0,27167.0,0.772870858434
HO_MNX1_HUMAN.H10MO.D.bed,4,184,502.0,27167.0,0.508748867493
HO_MSX1_HUMAN.H10MO.D.bed,0,52,502.0,27167.0,0.757574748494
HO_MSX2_HUMAN.H10MO.D.bed,22,1663,502.0,27167.0,0.111801267407
HO_MTF1_HUMAN.H10MO.C.bed,0,5,246.0,12206.0,0.19360906306
HO_MUSC_HUMAN.H10MO.D.bed,0,0,0.0,0.0,0.0
HO_MYB_HUMAN.H10MO.C.bed,32,1702,502.0,27167.0,0.82568688238
HO_MYBA_HUMAN.H10MO.D.bed,1,6,502.0,27167.0,0.00973187547739
HO_MYBB_HUMAN.H10MO.D.bed,2,38,502.0,27167.0,0.0656294770176
HO_MYC_HUMAN.H10MO.A.bed,0,26,502.0,27167.0,0.768797015283
HO_MYCN_HUMAN.H10MO.B.bed,10,497,502.0,27167.0,0.628264476191
HO_MYF6_HUMAN.H10MO.C.bed,73,3279,502.0,27167.0,0.0797414422991
